"climate_worry","age","gender","income","right_orientation","region","happiness","life_satisfaction","year","expo","years_education"
3,38,FALSE,10,9,"Budapest",8,6,"1",-0.0571283340454102,13
3,43,TRUE,8,8,"Budapest",7,7,"1",-0.0870737671852112,11
3,24,FALSE,9,9,"Budapest",9,8,"1",-0.0750955939292908,13
2,34,FALSE,10,5,"Budapest",9,9,"1",-0.0750955939292908,16
1,64,FALSE,5,5,"Budapest",7,7,"1",-0.0750955939292908,13
3,59,FALSE,2,8,"Budapest",7,7,"1",-0.0990519404411316,13
2,80,FALSE,2,5,"Budapest",4,4,"1",-0.0750955939292908,13
2,68,FALSE,1,5,"Budapest",7,7,"1",-0.081084680557251,13
2,54,TRUE,2,7,"Budapest",9,8,"1",-0.0870737671852112,11
3,52,FALSE,5,0,"Budapest",8,8,"1",-0.0750955939292908,13
2,27,FALSE,9,5,"Budapest",9,8,"1",-0.081084680557251,16
2,72,FALSE,4,7,"Budapest",7,7,"1",-0.0930628538131714,13
2,29,FALSE,5,5,"Budapest",10,7,"1",-0.081084680557251,16
2,43,FALSE,6,8,"Budapest",8,9,"1",-0.0870737671852112,13
2,27,TRUE,2,5,"Budapest",8,8,"1",-0.572189784049988,11
2,24,FALSE,10,5,"Budapest",8,8,"1",-0.0750955939292908,16
2,43,TRUE,8,6,"Budapest",8,8,"1",-0.0870737671852112,16
3,77,TRUE,8,5,"Budapest",7,7,"1",-0.0750955939292908,11
2,30,FALSE,2,5,"Budapest",8,8,"1",-0.0870737671852112,16
2,27,TRUE,10,5,"Budapest",9,8,"1",-0.081084680557251,18
3,31,TRUE,9,8,"Budapest",8,8,"1",-0.0691065073013306,14
2,42,FALSE,5,6,"Budapest",8,8,"1",-0.0870737671852112,16
2,58,FALSE,2,8,"Budapest",8,9,"1",-0.0870737671852112,13
3,38,FALSE,8,8,"Budapest",8,8,"1",-0.0870737671852112,11
3,37,FALSE,2,7,"Budapest",8,8,"1",-0.0870737671852112,11
3,85,FALSE,2,9,"Budapest",9,7,"1",-0.0870737671852112,10
3,46,TRUE,8,8,"Budapest",9,8,"1",-0.0870737671852112,11
3,15,FALSE,7,8,"Budapest",9,8,"1",-0.0870737671852112,10
3,77,FALSE,10,8,"Budapest",8,7,"1",-0.0930628538131714,10
3,45,FALSE,7,8,"Budapest",8,4,"1",-0.0571283340454102,11
3,70,FALSE,4,8,"Budapest",8,7,"1",-0.0870737671852112,16
3,43,FALSE,4,8,"Budapest",8,8,"1",-0.0870737671852112,14
3,43,FALSE,3,8,"Budapest",8,8,"1",-0.0870737671852112,13
3,60,FALSE,8,9,"Budapest",7,8,"1",-0.0870737671852112,13
3,66,FALSE,8,8,"Budapest",4,4,"1",-0.0870737671852112,14
2,64,FALSE,4,8,"Budapest",8,7,"1",-0.081084680557251,16
3,72,TRUE,8,4,"Budapest",8,10,"1",-0.0691065073013306,18
2,86,FALSE,2,8,"Budapest",0,6,"1",-0.0451501607894897,11
3,64,FALSE,3,6,"Budapest",8,8,"1",-0.0870737671852112,13
4,46,TRUE,3,5,"Budapest",9,8,"1",-0.0511392474174499,16
3,80,FALSE,2,5,"Budapest",7,4,"1",-0.0631174206733704,11
3,51,FALSE,1,7,"Budapest",7,6,"1",-0.0870737671852112,13
3,51,TRUE,9,5,"Budapest",9,8,"1",-0.0750955939292908,16
3,39,FALSE,4,5,"Budapest",8,7,"1",-0.506309831142426,13
3,74,FALSE,3,6,"Budapest",8,7,"1",-0.0870737671852112,13
4,46,FALSE,10,5,"Budapest",7,8,"1",-0.0750955939292908,18
3,21,TRUE,1,5,"Budapest",9,8,"1",-0.0631174206733704,14
3,86,TRUE,1,10,"Budapest",0,10,"1",-0.105041027069092,10
4,30,TRUE,7,5,"Budapest",5,5,"1",-0.0691065073013306,13
3,64,FALSE,9,5,"Budapest",9,6,"1",-0.0870737671852112,16
5,71,FALSE,8,5,"Budapest",6,7,"1",-0.0631174206733704,11
4,54,TRUE,8,5,"Budapest",3,6,"1",-0.0870737671852112,18
4,75,FALSE,10,5,"Budapest",8,9,"1",-0.0691065073013306,18
3,32,FALSE,9,8,"Budapest",7,7,"1",-0.0870737671852112,13
3,70,FALSE,1,8,"Budapest",8,8,"1",-0.0870737671852112,10
3,65,FALSE,4,7,"Budapest",9,8,"1",-0.081084680557251,11
3,73,TRUE,2,8,"Budapest",8,8,"1",-0.0930628538131714,10
3,29,FALSE,10,8,"Budapest",7,7,"1",-0.0870737671852112,13
4,55,FALSE,8,8,"Budapest",9,8,"1",-0.0870737671852112,13
3,50,FALSE,1,8,"Budapest",9,7,"1",-0.0870737671852112,11
4,72,FALSE,7,1,"Budapest",6,4,"1",-0.0631174206733704,13
3,59,TRUE,8,2,"Budapest",7,7,"1",-0.0691065073013306,13
4,58,FALSE,10,1,"Budapest",8,8,"1",-0.0631174206733704,13
3,64,FALSE,1,7,"Nógrád",10,10,"1",-0.0870737671852112,10
4,71,FALSE,1,7,"Nógrád",2,3,"1",-0.0451501607894897,11
3,68,TRUE,2,5,"Nógrád",7,7,"1",-0.081084680557251,16
3,51,FALSE,3,5,"Nógrád",5,5,"1",-0.0451501607894897,10
4,59,FALSE,1,5,"Nógrád",5,6,"1",-0.0451501607894897,10
5,67,FALSE,1,6,"Pest",6,8,"1",-0.0750955939292908,11
3,59,FALSE,3,1,"Pest",7,4,"1",-0.0750955939292908,13
5,29,TRUE,4,5,"Pest",4,5,"1",-0.0631174206733704,10
4,22,FALSE,7,7,"Vas",7,6,"1",-0.081084680557251,13
4,48,FALSE,5,6,"Vas",6,7,"1",-0.0750955939292908,11
4,73,FALSE,3,2,"Vas",6,5,"1",-0.081084680557251,10
4,58,TRUE,5,8,"Vas",7,7,"1",-0.081084680557251,11
4,56,FALSE,3,7,"Jász-Nagykun-Szolnok",6,7,"1",-0.0870737671852112,13
5,73,TRUE,5,5,"Jász-Nagykun-Szolnok",4,5,"1",-0.0870737671852112,13
5,81,FALSE,2,8,"Jász-Nagykun-Szolnok",3,2,"1",-0.0870737671852112,10
4,71,FALSE,4,5,"Jász-Nagykun-Szolnok",5,5,"1",-0.0631174206733704,13
4,25,TRUE,2,8,"Jász-Nagykun-Szolnok",8,3,"1",-0.0750955939292908,13
3,18,TRUE,1,7,"Jász-Nagykun-Szolnok",5,4,"1",-0.081084680557251,10
4,56,TRUE,3,3,"Jász-Nagykun-Szolnok",2,3,"1",-0.0750955939292908,14
5,63,FALSE,4,5,"Jász-Nagykun-Szolnok",7,7,"1",-0.0750955939292908,13
4,42,TRUE,2,5,"Jász-Nagykun-Szolnok",6,2,"1",-0.0750955939292908,11
5,31,TRUE,2,8,"Jász-Nagykun-Szolnok",7,6,"1",-0.0870737671852112,14
3,28,FALSE,7,9,"Komárom-Esztergom",8,7,"1",-0.0451501607894897,13
3,41,FALSE,9,5,"Komárom-Esztergom",8,8,"1",-0.0571283340454102,11
3,15,TRUE,10,10,"Komárom-Esztergom",7,7,"1",-0.572189784049988,10
3,32,FALSE,8,2,"Komárom-Esztergom",8,0,"1",-0.0451501607894897,13
2,16,FALSE,2,8,"Komárom-Esztergom",8,8,"1",-0.0750955939292908,10
3,46,FALSE,10,5,"Komárom-Esztergom",8,8,"1",-0.0571283340454102,13
3,45,TRUE,4,5,"Bács-Kiskun",5,4,"1",-0.0750955939292908,10
3,40,TRUE,5,6,"Bács-Kiskun",3,6,"1",-0.0870737671852112,11
3,65,TRUE,6,7,"Bács-Kiskun",7,7,"1",-0.0691065073013306,13
1,73,TRUE,4,5,"Bács-Kiskun",9,9,"1",-0.0750955939292908,10
3,34,FALSE,4,7,"Bács-Kiskun",9,9,"1",-0.0870737671852112,10
3,18,TRUE,3,6,"Bács-Kiskun",7,7,"1",-0.0571283340454102,10
3,64,FALSE,2,5,"Bács-Kiskun",6,5,"1",-0.0631174206733704,10
1,29,TRUE,4,5,"Bács-Kiskun",5,5,"1",-0.0691065073013306,11
3,30,TRUE,7,3,"Csongrád",8,7,"1",-0.0571283340454102,13
4,37,FALSE,6,8,"Csongrád",10,10,"1",-0.0990519404411316,16
3,80,FALSE,1,2,"Csongrád",5,5,"1",-0.0631174206733704,10
3,49,FALSE,7,10,"Győr-Moson-Sopron",4,10,"1",-0.0750955939292908,10
3,30,TRUE,7,6,"Győr-Moson-Sopron",6,8,"1",-0.0870737671852112,16
3,59,TRUE,4,8,"Győr-Moson-Sopron",3,7,"1",-0.0691065073013306,13
2,61,FALSE,10,1,"Pest",9,9,"1",-0.0631174206733704,16
2,28,FALSE,4,10,"Pest",7,10,"1",-0.0990519404411316,13
